experiment_type,method,config,organ,views,psnr,ssim,n_gaussians
sps_alpha_sweep,xrags+SPS,SPS α=0.0,abdomen,3,29.3444,0.9352,
sps_alpha_sweep,xrags+SPS,SPS α=0.1,abdomen,3,29.4457,0.9341,
sps_alpha_sweep,xrags+SPS,SPS α=0.2,abdomen,3,29.4769,0.9352,
sps_alpha_sweep,xrags+SPS,SPS α=0.5,abdomen,3,29.4095,0.9354,
sps_alpha_sweep,xrags+SPS,SPS α=1.0,abdomen,3,29.1595,0.9357,
sps_alpha_sweep,xrags+SPS,SPS α=0.0,foot,3,28.6261,0.9026,
sps_alpha_sweep,xrags+SPS,SPS α=0.1,foot,3,28.5996,0.9031,
sps_alpha_sweep,xrags+SPS,SPS α=0.2,foot,3,28.5697,0.9008,
sps_alpha_sweep,xrags+SPS,SPS α=0.5,foot,3,28.6858,0.9015,
sps_alpha_sweep,xrags+SPS,SPS α=1.0,foot,3,28.3805,0.8999,
sps_alpha_sweep,xrags+SPS,SPS α=0.0,pancreas,3,29.0755,0.9227,
sps_alpha_sweep,xrags+SPS,SPS α=0.1,pancreas,3,28.9517,0.9208,
sps_alpha_sweep,xrags+SPS,SPS α=0.2,pancreas,3,29.1172,0.9218,
sps_alpha_sweep,xrags+SPS,SPS α=0.5,pancreas,3,29.1174,0.9214,
sps_alpha_sweep,xrags+SPS,SPS α=1.0,pancreas,3,29.0313,0.9215,
gap_tau_sweep,xrags+GAP,GAP τ=0.005,chest,3,26.2193,0.8342,
gap_tau_sweep,xrags+GAP,GAP τ=0.010,chest,3,27.1131,0.8426,
gap_tau_sweep,xrags+GAP,GAP τ=0.015,chest,3,27.1985,0.8437,
gap_tau_sweep,xrags+GAP,GAP τ=0.020,chest,3,27.2365,0.8453,
gap_tau_sweep,xrags+GAP,GAP τ=0.030,chest,3,26.8585,0.8432,
gap_tau_sweep,xrags+GAP,GAP τ=0.005,head,3,26.7425,0.9248,
gap_tau_sweep,xrags+GAP,GAP τ=0.010,head,3,26.6944,0.9166,
gap_tau_sweep,xrags+GAP,GAP τ=0.015,head,3,26.629,0.9149,
gap_tau_sweep,xrags+GAP,GAP τ=0.020,head,3,26.4372,0.9146,
gap_tau_sweep,xrags+GAP,GAP τ=0.030,head,3,26.741,0.9237,
gap_tau_sweep,xrags+GAP,GAP τ=0.005,abdomen,3,29.0724,0.9355,
gap_tau_sweep,xrags+GAP,GAP τ=0.010,abdomen,3,29.6883,0.9362,
gap_tau_sweep,xrags+GAP,GAP τ=0.015,abdomen,3,29.725,0.9362,
gap_tau_sweep,xrags+GAP,GAP τ=0.020,abdomen,3,29.6459,0.936,
gap_tau_sweep,xrags+GAP,GAP τ=0.030,abdomen,3,29.5295,0.9369,
gap_tau_sweep,xrags+GAP,GAP τ=0.005,foot,3,28.4955,0.8972,
gap_tau_sweep,xrags+GAP,GAP τ=0.010,foot,3,28.5332,0.9023,
gap_tau_sweep,xrags+GAP,GAP τ=0.015,foot,3,28.6665,0.9026,
gap_tau_sweep,xrags+GAP,GAP τ=0.020,foot,3,28.356,0.9014,
gap_tau_sweep,xrags+GAP,GAP τ=0.030,foot,3,28.5878,0.8953,
gap_tau_sweep,xrags+GAP,GAP τ=0.005,pancreas,3,28.7668,0.9235,
gap_tau_sweep,xrags+GAP,GAP τ=0.010,pancreas,3,29.3917,0.9227,
gap_tau_sweep,xrags+GAP,GAP τ=0.015,pancreas,3,29.435,0.9234,
gap_tau_sweep,xrags+GAP,GAP τ=0.020,pancreas,3,29.4023,0.9231,
gap_tau_sweep,xrags+GAP,GAP τ=0.030,pancreas,3,29.0392,0.9261,
adm_iter_sweep,xrags,ADM warmup=0,chest,3,27.165,0.8422,
adm_iter_sweep,xrags,ADM warmup=5000,chest,3,26.8177,0.8394,
adm_iter_sweep,xrags,ADM warmup=10000,chest,3,26.9313,0.84,
adm_iter_sweep,xrags,ADM warmup=15000,chest,3,26.9464,0.84,
adm_iter_sweep,xrags,ADM warmup=20000,chest,3,26.906,0.8403,
adm_iter_sweep,xrags,ADM warmup=25000,chest,3,26.4585,0.839,
adm_iter_sweep,xrags,ADM warmup=0,head,3,26.852,0.9248,
adm_iter_sweep,xrags,ADM warmup=5000,head,3,26.7846,0.9244,
adm_iter_sweep,xrags,ADM warmup=10000,head,3,26.9138,0.924,
adm_iter_sweep,xrags,ADM warmup=15000,head,3,26.8039,0.9244,
adm_iter_sweep,xrags,ADM warmup=20000,head,3,26.832,0.9245,
adm_iter_sweep,xrags,ADM warmup=25000,head,3,26.862,0.9239,
adm_iter_sweep,xrags,ADM warmup=0,abdomen,3,29.3961,0.9378,
adm_iter_sweep,xrags,ADM warmup=5000,abdomen,3,29.2456,0.9373,
adm_iter_sweep,xrags,ADM warmup=10000,abdomen,3,29.1792,0.9368,
adm_iter_sweep,xrags,ADM warmup=15000,abdomen,3,29.2934,0.9368,
adm_iter_sweep,xrags,ADM warmup=20000,abdomen,3,29.3358,0.9369,
adm_iter_sweep,xrags,ADM warmup=25000,abdomen,3,29.263,0.9368,
adm_iter_sweep,xrags,ADM warmup=0,foot,3,29.0228,0.8993,
adm_iter_sweep,xrags,ADM warmup=5000,foot,3,28.6958,0.8993,
adm_iter_sweep,xrags,ADM warmup=10000,foot,3,28.604,0.899,
adm_iter_sweep,xrags,ADM warmup=15000,foot,3,28.6798,0.8994,
adm_iter_sweep,xrags,ADM warmup=20000,foot,3,28.7293,0.8992,
adm_iter_sweep,xrags,ADM warmup=25000,foot,3,28.6779,0.8992,
adm_iter_sweep,xrags,ADM warmup=0,pancreas,3,29.057,0.9221,
adm_iter_sweep,xrags,ADM warmup=5000,pancreas,3,28.8919,0.921,
adm_iter_sweep,xrags,ADM warmup=10000,pancreas,3,28.9076,0.9213,
adm_iter_sweep,xrags,ADM warmup=15000,pancreas,3,28.9458,0.9214,
adm_iter_sweep,xrags,ADM warmup=20000,pancreas,3,29.0118,0.9217,
adm_iter_sweep,xrags,ADM warmup=25000,pancreas,3,28.9533,0.9214,
